SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1380 Stanwix Ct,Columbus,OH,43223,365000,4,4.0,Columbus,1786,9583,1993,13,204,,Active,,,https://www.redfin.com/OH/Columbus/1380-Stanwix-Ct-43223/home/79708871,CBRMLS,226013015,N,Y,39.9275769,-83.0513606
MLS Listing,,Single Family Residential,6841 Riverside Glen Ct,Dublin,OH,43017,482000,4,2.5,Dublin,1856,15681,1994,22,260,,Active,,,https://www.redfin.com/OH/Dublin/6841-Riverside-Glen-Ct-43017/home/100777905,CBRMLS,226012189,N,Y,40.0937128,-83.0987655
MLS Listing,,Condo/Co-op,1190 N Grant Ave Unit A,Columbus,OH,43201,499900,3,3.5,Columbus,2000,871,2019,28,250,200,Active,,,https://www.redfin.com/OH/Columbus/1190-N-Grant-Ave-43201/unit-A/home/169640058,CBRMLS,226010487,N,Y,39.9877969,-82.9958729
MLS Listing,,Multi-Family (2-4 Unit),1230 Gilbert St #2,Columbus,OH,43206,240000,4,,MILLERS DESHLER,1568,3920,1930,64,153,,Active,,,https://www.redfin.com/OH/Columbus/1230-Gilbert-St-43206/unit-2/home/200741702,CBRMLS,226005936,N,Y,39.9393717,-82.9750329
MLS Listing,,Single Family Residential,5644 Linworth Rd,Columbus,OH,43235,482000,4,2.5,Indian Hills,2004,12196,1969,83,241,25,Active,,,https://www.redfin.com/OH/Columbus/5644-Linworth-Rd-43235/home/79577150,CBRMLS,226004191,N,Y,40.0803446,-83.0484102
MLS Listing,,Single Family Residential,1264 Shady Lane Rd,Columbus,OH,43227,249900,3,1.5,Columbus,1144,7405,1962,1,218,,Active,,,https://www.redfin.com/OH/Columbus/1264-Shady-Lane-Rd-43227/home/79557091,CBRMLS,226015940,N,Y,39.9495543,-82.8708163
MLS Listing,,Single Family Residential,848 Fairwood Ave,Columbus,OH,43205,199900,2,1.5,Bulens Fairwood PK,840,3920,1952,1,238,,Pre On-Market,,,https://www.redfin.com/OH/Columbus/848-Fairwood-Ave-43205/home/75590843,CBRMLS,226015936,N,Y,39.949775,-82.9532789
MLS Listing,,Single Family Residential,5668 Caledonia Dr,Westerville,OH,43081,389900,3,2.5,Village at Albany Crossing,1832,3484,2011,1,213,110,Active,,,https://www.redfin.com/OH/Westerville/5668-Caledonia-Dr-43081/home/100713715,CBRMLS,226015935,N,Y,40.0962109,-82.8535467
MLS Listing,,Single Family Residential,262 Lechner Ave,Columbus,OH,43223,187000,3,1.0,Columbus,804,5662,1930,1,233,,Pre On-Market,,,https://www.redfin.com/OH/Columbus/262-Lechner-Ave-43223/home/75655581,CBRMLS,226015934,N,Y,39.9505289,-83.0525551
MLS Listing,,Single Family Residential,4916 Black Sycamore Dr,Columbus,OH,43231,524900,3,3.5,MInerva Park,3200,6969,2017,1,164,,Pre On-Market,,,https://www.redfin.com/OH/Columbus/4916-Black-Sycamore-Dr-43231/home/113780818,CBRMLS,226015932,N,Y,40.075118,-82.9342945
MLS Listing,,Single Family Residential,2590 Medora Dr,Grove City,OH,43123,329900,4,2.0,LANGFORD MEADOWS,1727,4791,2002,1,191,,Pre On-Market,,,https://www.redfin.com/OH/Grove-City/2590-Medora-Dr-43123/home/79498429,CBRMLS,226015928,N,Y,39.9042947,-83.0327734
MLS Listing,,Single Family Residential,3583 Dresden St,Columbus,OH,43224,239500,3,1.5,Oakland Park,1478,5227,1956,1,162,,Active,,,https://www.redfin.com/OH/Columbus/3583-Dresden-St-43224/home/75629611,CBRMLS,226015925,N,Y,40.0402323,-82.9707545
